Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
27/05/2004;07.00.00;2,4;1512;244;11,0;1249;257;1291;110;1682;757;16,6;39,1;1,1795
27/05/2004;08.00.00;2,5;1469;223;15,8;1785;282;1355;112;1371;464;18,4;21,7;0,9993
27/05/2004;09.00.00;1,9;1370;205;-200,0;-200;-200;-200;163;2253;995;23,0;39,8;0,8971
27/05/2004;10.00.00;2,9;1612;192;12,7;1348;348;1360;115;1633;975;19,6;31,2;1,3501
27/05/2004;11.00.00;2,1;1475;215;14,8;1458;-200;-200;151;1717;580;19,0;32,6;1,0232
27/05/2004;12.00.00;3,0;1645;205;14,8;1484;413;1413;163;2219;627;23,1;34,5;1,0668
27/05/2004;13.00.00;3,1;1645;244;12,1;1404;376;1404;135;1724;640;25,4;20,0;1,0187
27/05/2004;14.00.00;2,4;1586;281;12,7;1543;360;1477;173;2198;748;21,9;44,2;1,1537
27/05/2004;15.00.00;2,6;1517;186;9,8;1339;340;1415;116;1872;1140;26,6;36,1;1,2262
27/05/2004;16.00.00;2,4;1522;216;12,3;1392;363;1360;130;1948;867;27,4;30,9;1,4153
27/05/2004;17.00.00;2,5;1554;207;13,3;1637;241;1105;118;1832;747;26,6;23,5;1,2166
27/05/2004;18.00.00;2,4;1505;191;13,1;1414;311;1243;171;2051;766;30,0;39,9;1,4151
27/05/2004;19.00.00;2,6;1548;204;17,0;1655;299;1225;187;1896;754;29,4;41,0;1,2653
27/05/2004;20.00.00;2,7;1553;273;14,8;1551;366;1448;160;1862;-200;28,5;23,1;1,1543
27/05/2004;21.00.00;2,5;1474;-200;10,8;1422;234;1290;227;2505;885;29,8;31,4;1,1955
27/05/2004;22.00.00;1,8;1388;173;11,9;1279;275;1383;-200;-200;637;24,6;20,0;1,1870
27/05/2004;23.00.00;1,8;1406;217;11,6;1275;323;1255;155;1646;860;28,6;38,6;1,2147
28/05/2004;00.00.00;1,3;1280;162;14,4;1613;229;1192;-200;-200;674;25,8;42,4;1,1343
28/05/2004;01.00.00;1,5;1214;175;10,2;1487;235;1199;110;1937;739;27,4;36,5;1,3338
28/05/2004;02.00.00;-200,0;-200;150;12,4;1381;274;1270;153;1945;756;24,7;20,0;1,0850
28/05/2004;03.00.00;2,3;1411;281;13,1;1326;259;1120;116;1456;800;25,8;23,8;1,1610
28/05/2004;04.00.00;1,5;1285;226;8,8;1119;260;1146;89;1908;776;18,7;21,5;1,1765
28/05/2004;05.00.00;1,7;1307;182;8,4;1324;310;1355;167;1990;880;20,3;26,0;1,1256
28/05/2004;06.00.00;2,0;1432;218;-200,0;-200;287;1236;114;1571;917;18,2;46,9;1,1127
28/05/2004;07.00.00;2,2;1502;204;13,8;1494;284;1278;149;1810;666;19,9;53,2;1,3771
28/05/2004;08.00.00;-200,0;-200;238;9,4;1252;323;1246;-200;-200;709;16,7;30,2;0,9258
28/05/2004;09.00.00;2,5;1520;-200;12,8;1374;387;1425;95;1660;499;17,5;20,0;0,8917
28/05/2004;10.00.00;2,4;1527;215;11,4;1283;278;1123;166;1645;1047;20,7;20,0;1,2706
28/05/2004;11.00.00;2,6;1493;208;9,3;1336;420;1567;151;2254;691;19,0;26,5;1,0207
28/05/2004;12.00.00;2,9;1563;253;14,2;1586;-200;-200;155;2047;1050;21,1;20,0;1,1772
28/05/2004;13.00.00;2,7;1490;298;14,3;1632;356;1439;156;1880;882;20,9;37,1;1,1533
28/05/2004;14.00.00;2,6;1586;220;14,6;1578;350;1363;153;2160;1169;24,8;46,1;1,1973
28/05/2004;15.00.00;2,7;1640;222;15,0;1550;355;1434;169;1944;1108;25,2;43,9;1,1939
28/05/2004;16.00.00;2,7;1515;229;13,1;1473;249;1379;121;1783;1294;28,8;43,3;1,3306
28/05/2004;17.00.00;2,5;1391;232;13,8;1589;259;1166;165;2053;934;29,2;54,3;1,3651
28/05/2004;18.00.00;2,4;1438;-200;13,2;1291;293;1335;114;1833;783;23,7;37,0;1,0924
28/05/2004;19.00.00;2,9;1541;224;8,6;1273;291;1217;220;2399;995;30,0;30,1;1,3939
28/05/2004;20.00.00;2,4;1419;225;9,9;1235;326;1339;145;1734;888;31,4;36,5;1,3234
28/05/2004;21.00.00;2,0;1356;158;10,6;1367;338;1423;146;1588;926;26,5;20,0;1,3627
28/05/2004;22.00.00;2,2;1454;200;-200,0;-200;176;1081;197;2340;612;30,9;21,0;1,2230
28/05/2004;23.00.00;1,8;1394;144;12,1;1492;199;1168;112;1603;1191;25,0;27,2;1,2576
29/05/2004;00.00.00;1,9;1272;191;13,1;1511;229;1254;137;1914;815;30,4;41,9;1,3409
29/05/2004;01.00.00;1,6;1290;169;12,5;1355;185;1138;89;1781;792;28,5;20,9;1,3065
29/05/2004;02.00.00;1,4;1287;211;-200,0;-200;217;1227;99;1853;730;21,6;27,9;1,1623
29/05/2004;03.00.00;1,6;1268;176;12,2;1354;199;1121;89;1499;846;21,2;38,2;1,0243
29/05/2004;04.00.00;1,1;1222;170;13,2;1464;247;1122;145;1796;-200;23,6;38,4;1,2104
29/05/2004;05.00.00;1,3;1247;123;11,4;1570;371;1522;142;1777;679;20,6;26,4;1,0736
29/05/2004;06.00.00;1,4;1247;221;10,6;1150;201;1064;113;1657;706;20,6;28,6;1,0631
29/05/2004;07.00.00;1,9;1331;173;12,7;1465;333;1436;122;1849;565;20,2;26,1;0,9117
29/05/2004;08.00.00;2,5;1509;209;-200,0;-200;433;1441;178;1847;668;19,7;56,8;1,0648
29/05/2004;09.00.00;-200,0;-200;256;16,6;1577;285;1235;155;1780;631;16,9;40,5;1,1447
29/05/2004;10.00.00;2,4;1393;245;10,6;1163;418;1468;122;1787;1069;17,9;25,4;1,0072
29/05/2004;11.00.00;2,5;1493;190;9,6;1262;274;1288;181;2202;924;17,9;35,5;1,0601
29/05/2004;12.00.00;1,9;1308;-200;12,1;1284;359;1362;132;1730;909;19,4;29,5;0,9521
29/05/2004;13.00.00;2,3;1373;183;9,7;1339;277;1253;165;1983;1153;24,5;21,1;1,0444
29/05/2004;14.00.00;2,2;1451;223;11,9;1259;223;1131;146;1640;1055;26,6;46,1;1,2690
29/05/2004;15.00.00;2,3;1443;194;16,1;1601;368;1539;207;2357;981;27,1;27,8;1,1802
29/05/2004;16.00.00;2,3;1425;189;12,7;1357;343;1433;140;1976;531;25,8;26,9;1,2313
29/05/2004;17.00.00;2,2;1445;216;12,4;1530;-200;-200;83;1723;1181;24,6;26,8;1,3558
29/05/2004;18.00.00;1,6;1344;176;10,4;1478;196;1094;125;1784;814;23,3;20,0;1,2641
29/05/2004;19.00.00;2,3;1474;-200;15,6;1545;366;1356;154;1914;1045;29,6;31,3;1,1109
29/05/2004;20.00.00;1,6;1337;180;12,1;1301;321;1255;146;1905;1014;31,1;41,2;1,2452
29/05/2004;21.00.00;1,9;1300;171;10,9;1510;180;1087;162;1921;855;31,9;30,8;1,3815
29/05/2004;22.00.00;2,3;1531;192;15,6;1567;293;1145;129;1912;1017;29,4;35,7;1,4614
29/05/2004;23.00.00;1,3;1293;189;11,0;1382;264;1225;173;2082;663;27,8;37,6;1,2354
30/05/2004;00.00.00;0,8;1106;176;8,7;1223;153;1017;144;2008;1020;26,8;44,0;1,2478
30/05/2004;01.00.00;1,4;1277;201;6,6;1109;-200;-200;131;1844;670;24,3;29,6;1,0137
30/05/2004;02.00.00;1,8;1366;231;11,9;1343;372;1440;114;1529;1004;25,5;30,2;1,1204
30/05/2004;03.00.00;2,1;1410;-200;11,2;1172;313;1327;-200;-200;978;22,9;29,3;1,1381
30/05/2004;04.00.00;1,2;1321;213;9,7;1461;-200;-200;145;1745;734;23,5;34,7;1,1159
30/05/2004;05.00.00;-200,0;-200;175;10,8;1358;299;1298;120;1633;968;18,2;23,1;1,0694
30/05/2004;06.00.00;1,6;1240;209;7,5;1165;195;1177;173;2096;623;20,3;41,7;1,0957
30/05/2004;07.00.00;1,8;1244;255;16,7;1729;308;1362;142;1639;647;16,4;30,5;1,0569
30/05/2004;08.00.00;2,8;1554;208;12,1;1349;245;1217;200;2206;643;22,1;46,9;1,1392
30/05/2004;09.00.00;1,6;1354;173;12,6;1467;247;1277;107;1523;713;17,3;38,1;1,0908
30/05/2004;10.00.00;2,3;1475;-200;12,1;1329;291;1139;139;1898;819;18,5;28,2;1,1124
30/05/2004;11.00.00;2,5;1476;213;7,4;1137;298;1287;190;2054;1057;24,3;32,5;1,1964
30/05/2004;12.00.00;2,7;1564;269;13,1;1515;290;1310;134;1907;962;24,4;38,4;1,1994
30/05/2004;13.00.00;2,5;1479;190;13,2;1486;310;1224;141;1930;835;25,2;50,2;1,1698
30/05/2004;14.00.00;2,6;1547;211;12,0;1368;321;1337;68;1587;858;22,4;22,0;1,1575
30/05/2004;15.00.00;2,3;1520;249;15,6;1650;381;1472;158;2110;-200;24,6;45,9;1,0975
30/05/2004;16.00.00;2,5;1448;242;16,5;1548;342;1367;184;1959;918;25,5;40,6;1,2875
30/05/2004;17.00.00;2,2;1427;201;13,0;1358;355;1322;116;1913;867;26,8;38,9;1,4332
30/05/2004;18.00.00;2,4;1472;215;13,6;1436;296;1218;161;1928;771;32,7;38,6;1,4834
30/05/2004;19.00.00;2,0;1466;236;9,7;1259;-200;-200;123;1980;1107;24,8;24,1;1,2146
30/05/2004;20.00.00;2,1;1373;-200;9,8;1258;186;1111;96;1803;1014;29,7;42,4;1,2248
30/05/2004;21.00.00;1,8;1419;255;10,3;1274;202;1114;126;1751;996;30,2;43,5;1,2964
30/05/2004;22.00.00;2,0;1336;252;16,1;1695;319;1359;123;2072;957;31,0;48,8;1,2933
30/05/2004;23.00.00;1,6;1380;177;10,1;1454;216;1109;135;1705;748;30,8;34,5;1,7009
31/05/2004;00.00.00;1,3;1301;243;13,2;1448;235;1087;116;1608;913;28,0;35,8;1,1247
31/05/2004;01.00.00;2,2;1423;192;10,9;1402;145;959;183;2179;797;24,8;40,6;1,1636
31/05/2004;02.00.00;1,5;1343;145;9,1;1179;215;1047;-200;-200;778;20,8;33,8;1,1684
31/05/2004;03.00.00;1,6;1291;200;10,2;1298;176;750;127;2212;759;23,5;28,5;1,1081
31/05/2004;04.00.00;1,6;1283;243;10,2;1358;210;1119;140;1993;539;19,6;40,1;1,1975
31/05/2004;05.00.00;2,3;1549;239;11,2;1275;281;1236;144;2118;417;22,9;32,0;1,2559
31/05/2004;06.00.00;1,4;1246;188;13,9;1568;247;1318;111;1741;1292;23,3;40,7;1,1547
31/05/2004;07.00.00;3,1;1648;250;14,0;1429;304;1377;162;1741;1194;20,6;24,9;1,1521
31/05/2004;08.00.00;2,6;1570;243;12,8;1539;348;1444;167;1793;1057;21,1;27,4;1,2073
31/05/2004;09.00.00;2,5;1531;228;13,0;1533;282;1165;176;2148;598;16,7;43,4;1,1245
31/05/2004;10.00.00;2,5;1528;215;14,8;1652;299;1400;86;1508;573;17,6;46,4;1,0595
31/05/2004;11.00.00;2,7;1573;208;13,4;1574;265;1245;169;1961;879;17,6;44,6;1,2105
31/05/2004;12.00.00;2,8;1622;238;14,3;1708;396;1456;136;1863;788;22,4;36,3;1,2598
31/05/2004;13.00.00;2,9;1603;234;15,9;1646;300;1223;193;2133;571;19,8;38,1;1,1045
31/05/2004;14.00.00;2,9;1583;237;11,7;1241;271;1177;186;2060;867;21,3;40,8;1,1792
31/05/2004;15.00.00;2,8;1485;264;11,9;1406;274;1222;183;1898;899;24,9;20,0;1,0682
31/05/2004;16.00.00;2,6;1542;221;13,5;1428;336;1270;135;1865;621;25,8;27,5;0,9545
31/05/2004;17.00.00;2,6;1565;220;11,7;1249;315;1335;109;1627;1031;27,5;47,1;1,2952
31/05/2004;18.00.00;-200,0;-200;229;-200,0;-200;299;1282;187;2164;776;29,6;40,6;1,4261
31/05/2004;19.00.00;2,7;1534;310;11,3;1332;365;1500;189;2012;715;23,0;20,0;1,0775
31/05/2004;20.00.00;2,4;1508;190;11,2;1208;-200;-200;88;1772;794;28,3;32,4;1,4113
31/05/2004;21.00.00;1,2;1325;220;12,7;1371;268;1054;166;1919;534;29,5;26,1;1,2664
31/05/2004;22.00.00;2,2;1383;207;11,7;1610;280;1230;154;2240;961;29,2;36,6;1,1655
31/05/2004;23.00.00;-200,0;-200;207;11,0;1487;281;1149;143;1649;918;31,1;36,8;1,3192
01/06/2004;00.00.00;1,9;1354;166;10,1;1376;258;1157;112;1812;567;27,3;20,0;1,1039
01/06/2004;01.00.00;1,7;1306;257;9,6;1344;206;1018;164;1923;908;26,5;51,9;1,3472
01/06/2004;02.00.00;2,1;1381;220;10,2;1219;149;1207;128;1746;625;26,0;20,1;1,2560
01/06/2004;03.00.00;2,1;1387;232;9,6;1183;300;1267;128;1875;572;25,8;35,5;1,1064
01/06/2004;04.00.00;-200,0;-200;154;9,9;1348;243;1258;68;1569;809;23,1;35,7;1,1402
01/06/2004;05.00.00;2,1;1402;192;11,9;1554;271;1211;119;1766;1023;20,5;40,5;1,2264
01/06/2004;06.00.00;1,8;1387;215;12,8;1338;256;1189;105;1699;364;19,5;32,4;1,1022
01/06/2004;07.00.00;1,8;1295;197;11,3;1357;189;1031;72;1385;697;19,7;33,0;1,0887
01/06/2004;08.00.00;2,1;1457;226;10,2;1333;295;1222;189;2251;-200;17,5;20,0;0,9545
01/06/2004;09.00.00;2,7;1559;293;12,3;1366;315;1263;150;1962;639;19,7;22,3;1,2458
01/06/2004;10.00.00;2,8;1491;250;12,5;1405;322;1382;113;1776;1067;20,0;50,2;1,0220
01/06/2004;11.00.00;2,8;1636;220;12,3;1311;415;1525;127;1819;562;19,4;20,0;1,0444
01/06/2004;12.00.00;3,0;1607;218;13,1;1488;345;1524;141;2143;891;20,0;23,9;0,8961
01/06/2004;13.00.00;2,9;1625;215;15,7;1599;335;1348;140;1589;755;22,6;20,0;1,1076
01/06/2004;14.00.00;2,6;1579;215;14,6;1589;-200;-200;176;1998;849;22,7;32,6;1,1017
01/06/2004;15.00.00;2,9;1630;225;17,0;1630;287;1278;-200;-200;627;25,7;26,1;1,1332
01/06/2004;16.00.00;3,0;1588;242;12,2;1479;347;1455;162;2146;659;27,5;25,8;1,2506
01/06/2004;17.00.00;2,9;1612;252;11,5;1410;346;1404;149;2063;965;29,2;22,5;1,2731
01/06/2004;18.00.00;2,9;1490;250;13,1;1577;295;1425;193;1957;1026;26,9;35,7;1,2594
01/06/2004;19.00.00;-200,0;-200;233;15,6;1554;349;1656;194;2359;698;32,6;39,7;1,4428
01/06/2004;20.00.00;2,4;1567;-200;8,6;1324;320;1423;144;1944;851;29,2;29,9;1,2901
01/06/2004;21.00.00;2,5;1463;300;13,2;1438;287;1312;121;2088;1177;29,3;20,0;1,2771
01/06/2004;22.00.00;2,0;1454;189;11,4;1434;310;1121;137;1740;926;30,0;31,9;1,2464
01/06/2004;23.00.00;1,7;1425;199;12,6;1563;230;1299;40;1505;1030;31,4;47,2;1,2509
02/06/2004;00.00.00;1,8;1398;150;12,5;1541;290;1404;145;1767;578;28,8;23,6;1,4484
02/06/2004;01.00.00;1,6;1369;186;12,4;1400;215;1283;91;1652;464;24,1;45,7;1,1848
02/06/2004;02.00.00;1,6;1241;170;12,2;1356;-200;-200;-200;-200;611;23,5;31,5;1,1810
02/06/2004;03.00.00;1,8;1307;181;17,2;1754;217;1040;149;1749;674;22,3;27,2;1,2885
02/06/2004;04.00.00;1,6;1397;163;14,8;1496;235;1074;115;1583;925;22,5;23,1;1,0231
02/06/2004;05.00.00;1,9;1418;165;13,4;1566;213;1017;123;1774;762;23,6;36,5;1,2680
02/06/2004;06.00.00;1,5;1321;198;10,0;1180;-200;-200;137;2014;954;23,8;23,9;1,1564
02/06/2004;07.00.00;2,2;1433;238;11,7;1433;-200;-200;127;1784;860;20,5;27,3;1,0589
02/06/2004;08.00.00;2,3;1474;-200;14,9;1508;286;1358;173;2125;-200;16,8;24,5;1,0331
02/06/2004;09.00.00;2,2;1523;154;-200,0;-200;224;1092;166;1813;923;19,9;26,1;1,1595
02/06/2004;10.00.00;2,7;1544;-200;11,8;1312;349;1365;171;2213;654;22,1;21,9;1,1615
02/06/2004;11.00.00;2,9;1621;252;9,9;1254;364;1455;-200;-200;652;22,4;34,9;1,1021
02/06/2004;12.00.00;2,3;1483;237;8,8;1434;317;1288;162;2117;892;24,9;30,2;1,3415
02/06/2004;13.00.00;2,6;1477;195;15,5;1273;299;1208;128;1649;943;24,8;20,0;1,1835
02/06/2004;14.00.00;2,6;1484;208;15,9;1559;362;1243;148;1745;880;25,0;21,8;0,9992
02/06/2004;15.00.00;2,5;1576;191;13,0;1416;277;1347;70;1500;869;25,3;20,0;1,1443
02/06/2004;16.00.00;3,0;1624;217;-200,0;-200;303;1215;194;2247;716;26,2;41,3;1,1856
02/06/2004;17.00.00;-200,0;-200;204;16,8;1598;356;1373;203;2540;1112;28,3;32,0;1,2347
02/06/2004;18.00.00;-200,0;-200;208;17,0;1633;338;1340;156;1900;606;28,7;29,2;1,2923
02/06/2004;19.00.00;1,8;1316;197;13,0;1383;307;1107;89;1755;626;27,0;26,1;1,2132
02/06/2004;20.00.00;2,5;1551;228;12,9;1482;414;1557;143;1723;763;28,0;27,0;1,2152
02/06/2004;21.00.00;1,8;1347;-200;10,7;1494;-200;-200;138;1638;759;33,0;32,5;1,1693
02/06/2004;22.00.00;2,1;1401;-200;11,6;1373;250;1296;141;2224;444;31,2;37,5;1,2915
02/06/2004;23.00.00;2,0;1447;183;10,5;1256;256;1175;-200;-200;570;30,9;43,7;1,4276
03/06/2004;00.00.00;2,3;1371;165;13,9;1481;164;1134;138;1855;947;26,4;40,0;1,2127
03/06/2004;01.00.00;1,4;1283;208;10,6;1294;252;1030;111;1326;1156;28,2;35,4;1,1901
03/06/2004;02.00.00;0,9;1178;156;8,1;1317;281;1346;122;1715;817;21,7;20,0;1,1075
03/06/2004;03.00.00;1,9;1360;154;14,0;1453;233;1093;133;1896;664;22,6;33,4;1,1555
03/06/2004;04.00.00;2,4;1453;-200;13,9;1544;340;1477;125;1614;944;22,3;45,5;1,0339
03/06/2004;05.00.00;2,3;1428;212;13,2;1486;226;1156;93;1685;828;24,2;35,8;1,2093
03/06/2004;06.00.00;2,1;1436;226;11,9;1405;233;1045;164;1992;676;21,4;31,2;1,1602
03/06/2004;07.00.00;2,0;1354;223;13,0;1334;235;1195;-200;-200;1049;20,4;20,0;1,0468
03/06/2004;08.00.00;2,5;1516;193;12,4;1357;228;1157;120;1937;-200;19,4;22,0;0,8643
03/06/2004;09.00.00;2,1;1399;242;17,8;1671;364;1453;-200;-200;1042;15,6;20,0;0,8967
03/06/2004;10.00.00;2,7;1514;175;18,0;1578;345;1311;110;1875;1251;21,0;24,1;1,1623
03/06/2004;11.00.00;-200,0;-200;222;12,0;1300;360;1304;175;1938;957;20,1;23,1;1,1170
03/06/2004;12.00.00;3,1;1585;227;-200,0;-200;307;1376;176;2134;528;24,4;30,3;1,0990
03/06/2004;13.00.00;3,6;1785;235;13,4;1505;408;1510;177;2032;759;20,6;29,7;1,2055
03/06/2004;14.00.00;2,9;1576;274;10,1;1445;316;1389;179;2253;648;23,7;30,3;1,2960
03/06/2004;15.00.00;2,6;1578;237;16,7;1660;306;1368;165;2001;798;25,6;32,1;1,1004
03/06/2004;16.00.00;2,7;1506;189;13,2;1470;384;1539;172;2088;922;29,3;42,6;1,2830
03/06/2004;17.00.00;2,1;1385;175;10,1;1309;260;1382;-200;-200;868;27,4;57,2;1,2602
03/06/2004;18.00.00;2,3;1385;284;9,2;1226;256;1232;176;2214;965;28,4;36,2;1,3876
03/06/2004;19.00.00;2,3;1436;-200;13,1;1443;242;1086;151;1709;894;29,0;41,7;1,2594
03/06/2004;20.00.00;2,1;1416;190;13,0;1506;278;1179;114;1787;866;28,9;31,5;1,1748
03/06/2004;21.00.00;2,2;1447;251;13,3;1557;385;1441;96;1754;-200;31,3;29,6;1,3124
03/06/2004;22.00.00;-200,0;-200;150;13,7;1243;246;1214;83;1581;1100;30,3;30,3;1,1746
03/06/2004;23.00.00;2,3;1487;-200;14,4;1590;208;1255;174;1929;644;24,5;33,2;1,3193
04/06/2004;00.00.00;1,9;1430;182;9,2;1228;221;1129;120;1863;913;30,0;30,8;1,4714
04/06/2004;01.00.00;1,8;1318;219;9,5;1322;225;1318;138;2092;978;25,7;38,6;1,2090
04/06/2004;02.00.00;1,7;1341;-200;13,4;1503;245;1367;105;1790;654;28,3;34,2;1,2940
04/06/2004;03.00.00;1,9;1322;158;10,5;1311;-200;-200;203;2234;662;24,9;36,5;1,2417
04/06/2004;04.00.00;2,1;1443;218;9,3;1317;158;1079;88;1440;630;21,6;20,0;1,2176
04/06/2004;05.00.00;1,7;1427;-200;8,6;1259;188;1031;137;2187;836;21,9;23,6;1,0880
04/06/2004;06.00.00;1,9;1310;135;13,6;1475;196;1261;126;1933;665;22,2;32,7;1,3265
04/06/2004;07.00.00;2,1;1450;177;14,0;1488;-200;-200;142;2020;523;17,6;20,0;1,0864
04/06/2004;08.00.00;1,9;1431;-200;-200,0;-200;225;1270;128;1862;701;20,3;20,0;1,2070
04/06/2004;09.00.00;2,2;1392;227;10,5;1325;307;1212;116;1867;1297;19,5;33,8;1,1213
04/06/2004;10.00.00;2,4;1503;-200;12,7;1235;332;1428;114;2016;1136;23,1;46,0;1,1677
04/06/2004;11.00.00;2,9;1565;265;13,5;1504;309;1429;219;2214;778;22,9;25,2;1,2431
04/06/2004;12.00.00;2,8;1556;248;12,7;1512;212;1216;147;2195;1039;19,9;20,0;1,0131
04/06/2004;13.00.00;2,8;1548;239;15,0;1407;396;1446;167;2216;602;23,5;29,0;1,0608
04/06/2004;14.00.00;3,1;1599;275;13,2;1429;412;1498;113;1878;1176;26,7;27,0;1,1919
04/06/2004;15.00.00;-200,0;-200;220;14,6;1670;332;1519;91;1576;586;22,9;20,0;1,2426
04/06/2004;16.00.00;2,9;1566;235;14,4;1736;301;1252;136;2058;984;25,8;21,9;1,3103
04/06/2004;17.00.00;2,6;1494;-200;10,4;1308;412;1477;178;1947;-200;30,2;20,0;1,2776
04/06/2004;18.00.00;2,6;1529;205;17,2;1668;281;1414;153;2081;512;25,2;44,0;1,3406
04/06/2004;19.00.00;2,3;1344;260;13,7;1476;336;1366;128;1640;505;28,3;29,5;1,3015
04/06/2004;20.00.00;1,6;1272;205;8,0;1212;187;1070;144;1757;754;25,9;20,0;1,1483
04/06/2004;21.00.00;2,1;1488;179;9,4;1392;301;1487;126;1834;730;29,2;23,5;1,2896
04/06/2004;22.00.00;2,5;1488;218;16,1;1606;221;1078;190;2213;965;29,2;24,6;1,3880
04/06/2004;23.00.00;2,2;1420;175;12,8;1303;290;1207;187;1854;762;26,1;22,8;1,1926
05/06/2004;00.00.00;1,9;1379;208;12,8;1467;252;1223;119;1490;1016;28,5;26,7;1,2737
05/06/2004;01.00.00;1,9;1414;-200;12,6;1389;233;1169;114;1576;998;27,8;44,0;1,1668
05/06/2004;02.00.00;1,5;1371;169;13,2;1349;216;1054;128;1985;720;23,3;29,9;1,0979
05/06/2004;03.00.00;1,6;1292;143;13,4;1358;293;1366;144;2069;-200;22,9;28,9;1,1519
05/06/2004;04.00.00;1,4;1254;167;9,0;1239;229;1160;119;1672;672;22,1;36,1;1,0134
05/06/2004;05.00.00;1,6;1299;191;12,1;1468;264;1234;162;1863;862;22,7;28,8;1,1090
05/06/2004;06.00.00;1,9;1438;196;9,1;1310;407;1514;146;1770;781;17,0;23,5;1,0569
05/06/2004;07.00.00;2,2;1449;174;10,3;1434;220;1035;177;1901;598;18,8;27,4;1,0606
05/06/2004;08.00.00;2,0;1499;209;11,3;1289;239;1097;105;1638;651;19,1;25,0;0,8034
05/06/2004;09.00.00;2,0;1390;180;8,6;1192;203;949;122;1823;674;21,3;41,9;1,0188
05/06/2004;10.00.00;2,3;1538;245;10,9;1410;217;1249;160;2279;699;19,1;33,8;1,0493
05/06/2004;11.00.00;2,5;1462;258;8,7;1308;414;1528;-200;-200;1147;23,1;53,2;1,2950
05/06/2004;12.00.00;2,0;1330;202;12,0;1345;280;1360;134;1931;870;23,7;27,6;1,2943
05/06/2004;13.00.00;1,8;1353;251;14,9;1474;164;983;120;2058;1338;23,3;32,7;1,0797
05/06/2004;14.00.00;2,3;1523;215;12,7;1483;304;1423;149;1882;787;28,0;38,5;1,3585
05/06/2004;15.00.00;2,1;1399;174;12,3;1503;-200;-200;185;2103;563;28,2;23,0;1,2898
05/06/2004;16.00.00;2,3;1425;253;11,8;1368;260;1318;85;1639;575;25,2;30,5;1,1974
05/06/2004;17.00.00;2,3;1513;267;-200,0;-200;287;1268;141;1982;818;29,4;35,5;1,1677
05/06/2004;18.00.00;2,1;1458;243;12,1;1406;304;1171;139;1929;1023;30,3;49,8;1,3589
05/06/2004;19.00.00;2,6;1473;204;-200,0;-200;288;994;118;1806;1024;33,9;31,0;1,4555
05/06/2004;20.00.00;2,1;1377;175;12,5;1500;326;1403;137;2152;656;27,0;42,8;1,1396
05/06/2004;21.00.00;2,0;1433;198;15,0;1528;268;1336;90;1690;652;32,1;21,7;1,2471
05/06/2004;22.00.00;1,9;1305;282;9,0;1099;265;1237;121;1676;800;29,5;24,4;1,2625
05/06/2004;23.00.00;1,3;1314;153;8,7;1170;224;1210;118;1772;1059;28,8;25,2;1,2698
06/06/2004;00.00.00;1,9;1410;230;11,5;1152;191;1128;-200;-200;821;26,7;48,9;1,1933
06/06/2004;01.00.00;1,5;1184;-200;10,3;1584;175;1057;-200;-200;922;28,2;40,2;1,1606
06/06/2004;02.00.00;1,7;1341;229;12,2;1542;-200;-200;109;1731;690;27,9;34,8;1,3380
06/06/2004;03.00.00;1,2;1140;148;8,4;1089;185;923;84;1653;675;22,8;40,7;1,2948
06/06/2004;04.00.00;1,1;1159;175;9,1;1198;252;1214;151;2235;961;21,8;20,0;1,0958
06/06/2004;05.00.00;1,9;1353;179;-200,0;-200;-200;-200;30;1231;516;16,1;27,2;1,1135
06/06/2004;06.00.00;1,9;1309;180;11,9;1554;-200;-200;118;1924;1050;22,5;33,1;1,1471
06/06/2004;07.00.00;1,6;1430;-200;16,4;1692;270;1266;122;1819;1070;20,1;20,2;0,9335
06/06/2004;08.00.00;1,7;1391;168;13,0;1474;270;1124;106;1413;700;20,5;20,0;0,9132
06/06/2004;09.00.00;2,5;1561;232;9,9;1233;222;1152;146;1800;575;18,9;20,0;1,0643
06/06/2004;10.00.00;1,9;1371;-200;9,8;1335;197;1022;118;1771;872;19,9;33,7;1,3072
06/06/2004;11.00.00;2,8;1570;206;11,0;1392;360;1368;104;1590;640;18,3;37,0;1,1146
06/06/2004;12.00.00;2,2;1511;192;15,6;1581;271;1299;161;2135;1023;22,5;29,8;1,0336
06/06/2004;13.00.00;2,7;1556;240;11,2;1352;338;1201;173;2038;758;23,4;20,0;1,2707
06/06/2004;14.00.00;2,4;1510;221;14,0;1454;332;1256;118;1586;871;25,7;23,3;1,1216
06/06/2004;15.00.00;2,7;1487;231;14,3;1643;390;1554;137;1815;753;30,2;30,6;1,4709
06/06/2004;16.00.00;-200,0;-200;211;9,6;1111;394;1474;201;2094;887;28,3;28,7;1,3669
06/06/2004;17.00.00;2,3;1473;210;11,8;1419;252;1131;159;2032;677;30,4;63,6;1,2879
06/06/2004;18.00.00;2,3;1471;217;12,0;1401;295;1336;145;2022;951;30,5;34,3;1,3818
06/06/2004;19.00.00;1,8;1315;248;8,5;1027;273;1136;185;1904;864;31,4;26,5;1,3378
06/06/2004;20.00.00;2,2;1462;-200;16,0;1562;364;1315;95;1608;576;31,1;33,6;1,3617
